Date,Open,High,Low,Close,Adj Close,Volume
2010-12-01,1.582000,2.188000,1.517000,2.016000,2.016000,0
2011-01-01,2.082000,2.168000,1.859000,1.952000,1.952000,0
2011-02-01,2.007000,2.415000,1.987000,2.137000,2.137000,0
2011-03-01,2.183000,2.344000,1.800000,2.225000,2.225000,0
2011-04-01,2.268000,2.352000,1.970000,1.975000,1.975000,0
2011-05-01,1.998000,1.998000,1.678000,1.688000,1.688000,0
2011-06-01,1.652000,1.810000,1.370000,1.754000,1.754000,0
2011-07-01,1.753000,1.846000,1.373000,1.373000,1.373000,0
2011-08-01,1.347000,1.370000,0.793000,0.952000,0.952000,0
2011-09-01,0.937000,1.013000,0.771000,0.965000,0.965000,0
2011-10-01,0.952000,1.220000,0.843000,1.011000,1.011000,0
2011-11-01,0.925000,1.008000,0.839000,0.952000,0.952000,0
2011-12-01,0.978000,1.020000,0.797000,0.830000,0.830000,0
2012-01-01,0.883000,0.927000,0.709000,0.711000,0.711000,0
2012-02-01,0.720000,0.927000,0.699000,0.875000,0.875000,0
2012-03-01,0.904000,1.226000,0.812000,1.043000,1.043000,0
2012-04-01,1.031000,1.105000,0.807000,0.811000,0.811000,0
2012-05-01,0.813000,0.846000,0.633000,0.671000,0.671000,0
2012-06-01,0.631000,0.773000,0.600000,0.729000,0.729000,0
2012-07-01,0.712000,0.712000,0.541000,0.599000,0.599000,0
2012-08-01,0.592000,0.836000,0.583000,0.596000,0.596000,0
2012-09-01,0.598000,0.741000,0.593000,0.630000,0.630000,0
2012-10-01,0.625000,0.833000,0.603000,0.715000,0.715000,0
2012-11-01,0.739000,0.774000,0.598000,0.614000,0.614000,0
2012-12-01,0.639000,0.783000,0.592000,0.725000,0.725000,0
2013-01-01,0.780000,0.917000,0.728000,0.881000,0.881000,0
2013-02-01,0.896000,0.910000,0.746000,0.769000,0.769000,0
2013-03-01,0.748000,0.921000,0.724000,0.769000,0.769000,0
2013-04-01,0.790000,0.790000,0.650000,0.678000,0.678000,0
2013-05-01,0.665000,1.089000,0.641000,1.053000,1.053000,0
2013-06-01,1.063000,1.557000,0.947000,1.385000,1.385000,0
2013-07-01,1.425000,1.611000,1.282000,1.391000,1.391000,0
2013-08-01,1.386000,1.724000,0.323000,1.601000,1.601000,0
2013-09-01,1.680000,1.848000,1.381000,1.388000,1.388000,0
2013-10-01,1.409000,1.472000,1.250000,1.315000,1.315000,0
2013-11-01,1.359000,1.460000,1.289000,1.367000,1.367000,0
2013-12-01,1.405000,1.756000,1.385000,1.748000,1.748000,0
2014-01-01,1.750000,1.777000,1.485000,1.510000,1.510000,0
2014-02-01,1.515000,1.582000,1.422000,1.511000,1.511000,0
2014-03-01,1.471000,1.786000,1.451000,1.732000,1.732000,0
2014-04-01,1.730000,1.811000,1.001000,1.681000,1.681000,0
2014-05-01,1.690000,1.765000,1.465000,1.528000,1.528000,0
2014-06-01,1.562000,1.758000,1.552000,1.625000,1.625000,0
2014-07-01,1.648000,1.807000,1.610000,1.763000,1.763000,0
2014-08-01,1.771000,1.789000,1.495000,1.628000,1.628000,0
2014-09-01,1.661000,1.874000,1.628000,1.780000,1.780000,0
2014-10-01,1.747000,1.768000,1.118000,1.613000,1.613000,0
2014-11-01,1.608000,1.701000,1.511000,1.511000,1.511000,0
2014-12-01,1.469000,1.791000,1.454000,1.653000,1.653000,0
2015-01-01,1.686000,1.705000,1.159000,1.187000,1.187000,0
2015-02-01,1.189000,1.636000,1.168000,1.505000,1.505000,0
2015-03-01,1.509000,1.711000,1.340000,1.375000,1.375000,0
2015-04-01,1.341000,1.507000,1.260000,1.442000,1.442000,0
2015-05-01,1.456000,1.635000,1.447000,1.467000,1.467000,0
2015-06-01,1.492000,1.809000,1.471000,1.628000,1.628000,0
2015-07-01,1.699000,1.752000,1.473000,1.548000,1.548000,0
2015-08-01,1.552000,1.671000,1.292000,1.541000,1.541000,0
2015-09-01,1.504000,1.614000,1.372000,1.375000,1.375000,0
2015-10-01,1.365000,1.558000,1.215000,1.528000,1.528000,0
2015-11-01,1.553000,1.779000,1.543000,1.654000,1.654000,0
2015-12-01,1.666000,1.829000,1.568000,1.758000,1.758000,0
2016-01-01,1.720000,1.740000,1.328000,1.335000,1.335000,0
2016-02-01,1.343000,1.383000,1.008000,1.220000,1.220000,0
2016-03-01,1.224000,1.534000,1.204000,1.224000,1.224000,0
2016-04-01,1.213000,1.405000,1.137000,1.279000,1.279000,0
2016-05-01,1.275000,1.422000,1.155000,1.359000,1.359000,0
2016-06-01,1.357000,1.390000,0.985000,1.011000,1.011000,0
2016-07-01,0.972000,1.169000,0.911000,1.033000,1.033000,0
2016-08-01,1.056000,1.241000,1.017000,1.180000,1.180000,0
2016-09-01,1.204000,1.270000,1.092000,1.156000,1.156000,0
2016-10-01,1.159000,1.368000,1.157000,1.313000,1.313000,0
2016-11-01,1.323000,1.882000,1.229000,1.834000,1.834000,0
2016-12-01,1.872000,2.119000,1.796000,1.934000,1.934000,0
2017-01-01,1.990000,2.017000,1.804000,1.908000,1.908000,0
2017-02-01,1.949000,2.020000,1.794000,1.880000,1.880000,0
2017-03-01,1.982000,2.138000,1.885000,1.929000,1.929000,0
2017-04-01,1.906000,1.926000,1.706000,1.816000,1.816000,0
2017-05-01,1.826000,1.951000,1.724000,1.748000,1.748000,0
2017-06-01,1.778000,1.885000,1.673000,1.885000,1.885000,0
2017-07-01,1.894000,1.968000,1.795000,1.832000,1.832000,0
2017-08-01,1.847000,1.857000,1.672000,1.707000,1.707000,0
2017-09-01,1.709000,1.939000,1.618000,1.928000,1.928000,0
2017-10-01,1.939000,2.089000,1.898000,2.010000,2.010000,0
2017-11-01,2.033000,2.156000,1.975000,2.144000,2.144000,0
2017-12-01,2.124000,2.261000,2.068000,2.206000,2.206000,0
2018-01-01,2.228000,2.551000,2.223000,2.524000,2.524000,0
2018-02-01,2.544000,2.682000,2.461000,2.650000,2.650000,0
2018-03-01,2.612000,2.734000,2.550000,2.562000,2.562000,0
2018-04-01,2.587000,2.852000,2.535000,2.789000,2.789000,0
2018-05-01,2.812000,2.941000,2.571000,2.664000,2.664000,0
2018-06-01,2.738000,2.869000,2.695000,2.731000,2.731000,0
2018-07-01,2.709000,2.867000,2.706000,2.848000,2.848000,0
2018-08-01,2.872000,2.887000,2.692000,2.735000,2.735000,0
2018-09-01,2.743000,2.990000,2.740000,2.948000,2.948000,0
2018-10-01,2.972000,3.092000,2.885000,2.987000,2.987000,0
2018-11-01,2.990000,3.095000,2.823000,2.845000,2.845000,0
2018-12-01,2.875000,2.875000,2.500000,2.510000,2.510000,0
2019-01-01,2.489000,2.635000,2.368000,2.440000,2.440000,0
2019-02-01,2.441000,2.545000,2.429000,2.509000,2.509000,0
2019-03-01,2.538000,2.563000,2.133000,2.243000,2.243000,0
2019-04-01,2.270000,2.428000,2.246000,2.282000,2.282000,0
2019-05-01,2.285000,2.384000,1.923000,1.927000,1.927000,0
2019-06-01,1.888000,1.940000,1.709000,1.758000,1.758000,0
2019-07-01,1.783000,1.909000,1.725000,1.844000,1.844000,0
2019-08-01,1.847000,1.847000,1.355000,1.391000,1.391000,0
2019-09-01,1.377000,1.752000,1.308000,1.551000,1.551000,0
2019-10-01,1.596000,1.683000,1.321000,1.523000,1.523000,0
2019-11-01,1.505000,1.782000,1.498000,1.621000,1.621000,0
2019-12-01,1.664000,1.771000,1.518000,1.693000,1.693000,0
2020-01-01,1.683000,1.691000,1.325000,1.326000,1.326000,0
2020-02-01,1.367000,1.483000,0.909000,0.913000,0.913000,0
2020-03-01,0.838000,0.915000,0.318000,0.375000,0.375000,0
2020-04-01,0.355000,0.519000,0.301000,0.345000,0.345000,0
2020-05-01,0.340000,0.404000,0.272000,0.304000,0.304000,0
2020-06-01,0.310000,0.506000,0.266000,0.289000,0.289000,0
2020-07-01,0.296000,0.331000,0.214000,0.215000,0.215000,0
2020-08-01,0.219000,0.322000,0.192000,0.264000,0.264000,0
2020-09-01,0.269000,0.304000,0.226000,0.272000,0.272000,0
2020-10-01,0.285000,0.388000,0.256000,0.381000,0.381000,0
2020-11-01,0.372000,0.465000,0.318000,0.362000,0.362000,0
